year,level_1,level_2,value
2011,Total,Murder,16
2011,Total,Serious Hurt,406
2011,Total,Rape,150
2011,Total,Outrage Of Modesty,1396
2011,Total,Rioting,172
2011,Total,Robbery,394
2011,Total,Housebreaking,637
2011,Total,Theft Of Motor Vehicle,673
2011,Total,Snatch Theft,349
2011,Total,Cheating Related Offences,3819
2012,Total,Murder,11
2012,Total,Serious Hurt,452
2012,Total,Rape,133
2012,Total,Outrage Of Modesty,1420
2012,Total,Rioting,191
2012,Total,Robbery,290
2012,Total,Housebreaking,545
2012,Total,Theft Of Motor Vehicle,586
2012,Total,Snatch Theft,286
2012,Total,Cheating Related Offences,3419
2013,Total,Murder,16
2013,Total,Serious Hurt,476
2013,Total,Rape,120
2013,Total,Outrage Of Modesty,1325
2013,Total,Rioting,162
2013,Total,Robbery,254
2013,Total,Housebreaking,507
2013,Total,Theft Of Motor Vehicle,404
2013,Total,Snatch Theft,239
2013,Total,Cheating Related Offences,3695
2014,Total,Murder,14
2014,Total,Serious Hurt,513
2014,Total,Rape,164
2014,Total,Outrage Of Modesty,1372
2014,Total,Rioting,168
2014,Total,Robbery,230
2014,Total,Housebreaking,311
2014,Total,Theft Of Motor Vehicle,314
2014,Total,Snatch Theft,165
2014,Total,Cheating Related Offences,5465
2015,Total,Murder,14
2015,Total,Serious Hurt,473
2015,Total,Rape,162
2015,Total,Outrage Of Modesty,1294
2015,Total,Rioting,114
2015,Total,Robbery,123
2015,Total,Housebreaking,250
2015,Total,Theft Of Motor Vehicle,302
2015,Total,Snatch Theft,84
2015,Total,Cheating Related Offences,8242
2016,Total,Murder,18
2016,Total,Serious Hurt,492
2016,Total,Rape,149
2016,Total,Outrage Of Modesty,1282
2016,Total,Rioting,112
2016,Total,Robbery,96
2016,Total,Housebreaking,212
2016,Total,Theft Of Motor Vehicle,165
2016,Total,Snatch Theft,63
2016,Total,Cheating Related Offences,8268
2017,Total,Murder,8
2017,Total,Serious Hurt,420
2017,Total,Rape,185
2017,Total,Outrage Of Modesty,1561
2017,Total,Rioting,103
2017,Total,Robbery,69
2017,Total,Housebreaking,160
2017,Total,Theft Of Motor Vehicle,143
2017,Total,Snatch Theft,49
2017,Total,Cheating Related Offences,8364
2018,Total,Murder,9
2018,Total,Serious Hurt,429
2018,Total,Rape,213
2018,Total,Outrage Of Modesty,1728
2018,Total,Rioting,107
2018,Total,Robbery,72
2018,Total,Housebreaking,204
2018,Total,Theft Of Motor Vehicle,114
2018,Total,Snatch Theft,48
2018,Total,Cheating Related Offences,9193
2019,Total,Murder,11
2019,Total,Serious Hurt,373
2019,Total,Rape,281
2019,Total,Outrage Of Modesty,1605
2019,Total,Rioting,94
2019,Total,Robbery,55
2019,Total,Housebreaking,186
2019,Total,Theft Of Motor Vehicle,85
2019,Total,Snatch Theft,35
2019,Total,Cheating Related Offences,12363
2020,Total,Murder,8
2020,Total,Serious Hurt,445
2020,Total,Rape,348
2020,Total,Outrage Of Modesty,1320
2020,Total,Rioting,59
2020,Total,Robbery,37
2020,Total,Housebreaking,164
2020,Total,Theft Of Motor Vehicle,60
2020,Total,Snatch Theft,18
2020,Total,Cheating Related Offences,16523